id;name;parent_id
P01AC;Dichloroacetamide derivatives;P01A
P01AR;Arsenic compounds;P01A
P01BE;"Artemisinin and derivatives, plain";P01B
P01BF;"Artemisinin and derivatives, combinations";P01B
P01BX;Other antimalarials;P01B
P01CA;Nitroimidazole derivatives;P01C
P01CB;Antimony compounds;P01C
P01CC;Nitrofuran derivatives;P01C
P01CD;Arsenic compounds;P01C
P02BA;Quinoline derivatives and related substances;P02B
P02BB;Organophosphorous compounds;P02B
P02BX;Other antitrematodal agents;P02B
P02CB;Piperazine and derivatives;P02C
P02CC;Tetrahydropyrimidine derivatives;P02C
P02CE;Imidazothiazole derivatives;P02C
P02CF;Avermectines;P02C
P02DX;Other anticestodals;P02D
P03AA;Sulfur containing products;P03A
P03BA;Pyrethrines;P03B
P03BX;Other insecticides and repellents;P03B
R03AB;Non-selective beta-adrenoreceptor agonists;R03A
R03AH;Combinations of adrenergics;R03A
R03AL;Adrenergics in combination with anticholinergics;R03A
R03BX;"Other drugs for obstructive airway diseases, inhalants";R03B
R03CA;Alpha- and beta-adrenoreceptor agonists;R03C
R03CK;Adrenergics and other drugs for obstructive airway diseases;R03C
R03DB;Xanthines and adrenergics;R03D
R05FB;Other cough suppressants and expectorants;R05F
S01AE;Eye Fluoroquinolones;S01A
S01BB;Corticosteroids and mydriatics in combination;S01B
S01CB;Corticosteroids / anti-infectives / mydriatics in combination;S01C
S01CC;"Anti-inflammatory agents, non-steroids and anti-infectives in combination";S01C
S01EX;Other antiglaucoma preparations;S01E
S01KX;Other surgical aids;S01K
S02BA;Corticosteroids;S02B
S02DA;Analgesics and anesthetics;S02D
V03AH;Drugs for treatment of hypoglycaemia;V03A
V03AK;Tissue adhesives;V03A
V03AM;Drugs for embolisation;V03A
V03AX;Other therapeutic products;V03A
V03AZ;Nerve depressants;V03A
V04CA;Tests for diabetes;V04C
V04CB;Tests for fat absorption;V04C
V04CK;Tests for pancreatic function;V04C
V04CM;Tests for fertility disturbances;V04C
V06DC;Carbohydrate;V06D
A02BD;Combinations for eradication of Helicobacter pylori;A02B
A03AC;"Synthetic antispasmodics, amides with tertiary amines";A03A
A03CA;Synthetic anticholinergic agents in combination with psycholeptics;A03C
A03CB;Belladonna and derivatives in combination with psycholeptics;A03C
A03DA;Synthetic anticholinergic agents in combination with analgesics;A03D
A03DB;Belladonna and derivatives in combination with analgesics;A03D
A05AA;Bile acid preparations;A05A
A05AB;Preparations for biliary tract therapy;A05A
A05AX;Other drugs for bile therapy;A05A
A05BA;Liver therapy;A05B
A06AA;"Softeners, emollients";A06A
A07AB;Sulfonamides;A07A
A07AX;Other intestinal anti-infectives;A07A
A07BC;Other intestinal adsorbents;A07B
A07XA;Other antidiarrheals;A07X
A09AB;Acid preparations;A09A
A09AC;"Enzyme and acid preparations, combinations";A09A
A10AF;Insulins and analogues for inhalation;A10A
A10BC;Sulfonamides (heterocyclic);A10B
A10BJ;Glucagon-like peptide-1 receptor (GLP-1) analogues;A10B
A10BK;Sodium-glucose co-transporter 2 (SGLT2) inhibitors;A10B
A10XA;Aldose reductase inhibitors;A10X
A11AB;"Multivitamins, other combinations";A11A
A11DB;Vitamin B1 in combination with vitamin B6 and/or vitamin B12;A11D
A11EB;Vitamin B-complex with vitamin C;A11E
A11EC;Vitamin B-complex with minerals;A11E
A11ED;Vitamin B-complex with anabolic steroids;A11E
A11EX;"Vitamin B-complex, other combinations";A11E
A11GB;"Ascorbic acid (vitamin C), combinations";A11G
A11JA;Combinations of vitamins;A11J
A11JB;Vitamins with minerals;A11J
A11JC;"Vitamins, other combinations";A11J
A12CC;Magnesium;A12C
A12CD;Fluoride;A12C
A12CE;Selenium;A12C
A12CX;Other mineral products;A12C
A14AA;Androstan derivatives;A14A
B01AF;Direct factor Xa inhibitors;B01A
B03AD;Iron in combination with folic acid;B03A
B05AX;Other blood products;B05A
B05XX;Other i.v. solution additives;B05X
B06AX;Other hematological agents;B06A
C01AB;Scilla glycosides;C01A
C01AC;Strophantus glycosides;C01A
C01AX;Other cardiac glycosides;C01A
C01CE;Phosphodiesterase inhibitors drugs;C01C
C01CX;Other cardiac stimulants drugs;C01C
C01DB;Quinolone vasodilators;C01D
C02AA;Rauvolfia alkaloids;C02A
C02BA;Sulfonium derivatives;C02B
C02BB;Secondary and tertiary amines;C02B
C02CC;Guanidine derivatives;C02C
C02DA;Thiazide derivatives;C02D
C02DC;Pyrimidine derivatives;C02D
C02KA;"Alkaloids, excluding rauwolfia";C02K
C02KB;Tyrosine hydroxylase inhibitors;C02K
C02KC;MAO inhibitors;C02K
C02KD;Serotonin antagonists;C02K
C02LA;Rauwolfia alkaloids and diuretics in combination;C02L
C02LB;Methyldopa and diuretics in combination;C02L
C02LC;Imidazoline receptor agonists in combination with diuretics;C02L
C02LE;Alpha-adrenoreceptor antagonists and diuretics;C02L
C02LF;Guanidine derivatives and diuretics;C02L
C02LG;Hydrazinophthalazine derivatives and diuretics;C02L
C02LK;"Alkaloids, excluding rauwolfia, in combination with diuretics";C02L
C02LL;MAO inhibitors and diuretics;C02L
C02LX;Other antihypertensives and diuretics;C02L
C03AH;"Thiazides, combinations with psycholeptics and/or analgesics";C03A
C03AX;"Thiazides, combinations with other drugs";C03A
C03BC;Mercurial diuretics;C03B
C03BD;Xanthine derivatives;C03B
C03BX;Other low-ceiling diuretics;C03B
C03CC;Aryloxyacetic acid derivatives;C03C
C03CD;Pyrazolone derivatives;C03C
C03CX;Other high-ceiling diuretics;C03C
C04AA;2-amino-1-phenylethanol derivatives;C04A
C04AC;Nicotinic acid and derivatives;C04A
C04AE;Ergot alkaloids;C04A
C04AF;Enzymes;C04A
C04AX;Other peripheral vasodilators;C04A
C05BX;Other sclerosing agents;C05B
C05CX;Other capillary stabilising agents;C05C
C07BG;Alpha and beta blocking agents and thiazides;C07B
C07CG;Alpha and beta blocking agents and other diuretics;C07C
C07DA;"Beta blocking agents, non-selective, thiazides and other diuretics";C07D
C07DB;"Beta blocking agents, selective, thiazides and other diuretics";C07D
C07FA;"Beta blocking agents, non-selective, and other antihypertensives";C07F
C07FX;"Beta blocking agents, other combinations";C07F
C08EA;Phenylalkylamine derivatives;C08E
C08EX;Other non-selective calcium channel blockers;C08E
C08GA;Calcium channel blockers and diuretics;C08G
C09BX;"ACE inhibitors, other combinations";C09B
C10BX;"HMG CoA reductase inhibitors, other combinations";C10B
D02BA;Protectives against UV-radiation for topical use;D02B
D02BB;Protectives against UV-radiation for systemic use;D02B
D03BA;Proteolytic enzymes;D03B
D05AD;Psoralens for topical use;D05A
D05BX;Other antipsoriatics for systemic use;D05B
D07BA;"Corticosteroids, weak, combinations with antiseptics";D07B
D07CD;"Corticosteroids, very potent, combinations with antibiotics";D07C
D08AA;Acridine derivatives;D08A
D08AE;Phenol and derivatives;D08A
D08AH;Quinoline derivatives;D08A
D08AJ;Quaternary ammonium compounds;D08A
D08AK;Mercurial products;D08A
D09AX;Soft paraffin dressings;D09A
D10AB;Preparations containing sulfur;D10A
D10BX;Other anti-acne preparations for systemic use;D10B
D11AE;Androgens for topical use;D11A
G01AB;Arsenic compounds;G01A
G01AC;Quinoline derivatives;G01A
G01AD;Organic acids;G01A
G01AE;Sulfonamides;G01A
G02AC;"Ergot alkaloids and oxytocin including analogues, in combination";G02A
G02CC;Anti-inflammatory products for vaginal administration;G02C
G03CC;"Estrogens, combinations with other drugs";G03C
G03EA;Androgens and estrogens;G03E
G03EK;Androgens and female sex hormones in combination with other drugs;G03E
G03XX;Other sex hormones and modulators of the genital system;G03X
G04BA;Acidifiers;G04B
G04BC;Urinary concrement solvents;G04B
G04BX;Other urologicals;G04B
G04CX;Other drugs used in benign prostatic hypertrophy;G04C
H02BX;"Corticosteroids for systemic use, combinations";H02B
H02CA;Anticorticosteroids;H02C
H03BC;Perchlorates;H03B
H03BX;Other antithyroid preparations;H03B
J01CG;Beta-lactamase inhibitors;J01C
J01DI;Other cephalosporins and penems;J01D
J01ED;Long-acting sulfonamides;J01E
J01FG;Streptogramin antibiotics;J01F
J01GA;Streptomycins;J01G
J04AA;Aminosalicylic acid and derivatives;J04A
J04AD;Thiocarbamide derivatives;J04A
J05AA;Thiosemicarbazones;J05A
J05AC;Cyclic amines;J05A
J05AP;Antivirals for treatment of HCV infections;J05A
J06BC;Antibacterial monoclonal antibodies;J06B
J06BD;Antiviral monoclonal antibodies;J06B
J07AD;Brucellosis vaccines;J07A
J07AK;Plague vaccines;J07A
J07AR;Typhus (exanthematicus) vaccines;J07A
J07BX;Other viral vaccines;J07B
L01AG;Epoxides;L01A
L01CC;Colchicine derivatives;L01C
L01CE;Topoisomerase 1 (TOP1) inhibitors;L01C
L01DA;Actinomycin;L01D
L01EA;BCR-ABL tyrosine kinase inhibitors;L01E
A11E*;None;A11E
B01A*;None;B01A
B05D*;None;B05D
J05AJ;Integrase inhibitors;J05A
J06B*;None;J06B
L01FA;CD20 (Clusters of Differentiation 20) inhibitors;L01F
L01FB;CD22 (Clusters of Differentiation 22) inhibitors;L01F
L01FC;CD38 (Clusters of Differentiation 38) inhibitors;L01F
L01FE;EGFR (Epidermal Growth Factor Receptor) inhibitors;L01F
L01FG;VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors;L01F
L01XY;Combinations of antineoplastic agents;L01X
M02AB;Capsaicin and similar agents;M02A
M02AX;Other topical products for joint and muscular pain;M02A
N01AA;Ethers;N01A
N02A*;None;N02A
N04CX;Other antiparkinson drugs;N04C
P01AA;Hydroxyquinoline derivatives;P01A
R02AB;Antibiotics;R02A
V08AC;"Watersoluble, hepatotropic X-ray contrast media";V08A
V08CX;Other magnetic resonance imaging contrast media;V08C
V09AA;Technetium (99mTc) compounds;V09A
V09AB;Iodine (123I) compounds;V09A
V09AX;Other central nervous system diagnostic radiopharmaceuticals;V09A
V09BA;Technetium (99mTc) compounds;V09B
V09CA;Technetium (99mTc) compounds;V09C
V09CX;Other renal system diagnostic radiopharmaceuticals;V09C
V09DA;Technetium (99mTc) compounds;V09D
V09DB;"Technetium (99mTc), particles and colloids";V09D
V09DX;Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals;V09D
V09EA;"Technetium (99mTc), inhalants";V09E
V09EB;"Technetium (99mTc), particles for injection";V09E
V09EX;Other respiratory system diagnostic radiopharmaceuticals;V09E
V09FX;Various thyroid diagnostic radiopharmaceuticals;V09F
V09GA;Technetium (99mTc) compounds;V09G
V09GB;Iodine (125I) compounds;V09G
V09GX;Other cardiovascular system diagnostic radiopharmaceuticals;V09G
V09HA;Technetium (99mTc) compounds;V09H
V09HB;Indium (111In) compounds;V09H
V09HX;Other diagnostic radiopharmaceuticals for inflammation and infection detection;V09H
V09IA;Technetium (99mTc) compounds;V09I
V09IB;Indium (111In) compounds;V09I
V09IX;Other diagnostic radiopharmaceuticals for tumour detection;V09I
V09XA;Iodine (131I) compounds;V09X
V09XX;Various diagnostic radiopharmaceuticals;V09X
V10AA;Yttrium (90Y) compounds;V10A
V10AX;Other antiinflammatory therapeutic radiopharmaceuticals;V10A
V10BX;Various pain palliation radiopharmaceuticals;V10B
V10XA;Iodine (131I) compounds;V10X
V10XX;Various therapeutic radiopharmaceuticals;V10X
N05CJ;Orexin receptor antagonists ;N05C
C05XX;Other vasoprotectives;C05X
L04AE;Sphingosine 1-phosphate (S1P) receptor modulators;L04A
L04AF;Janus-associated kinase (JAK) inhibitors;L04A
L04AG;Monoclonal antibodies;L04A
L04AH;Mammalian target of rapamycin (mTOR) kinase inhibitors;L04A
L04AJ;Complement inhibitors;L04A
L04AK;Dihydroorotate dehydrogenase (DHODH) inhibitors;L04A
