drugcategory;category_detail
1110;"['Amidines', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Anticoagulants', 'Antirheumatic Agents', 'Central Nervous System Agents', 'Complement Inactivating Agents', 'Enzyme Inhibitors', 'Fibrinolysin, Antagonists & Inhibitors', 'Hematologic Agents', 'Immunologic Factors', 'Kallikreins, Antagonists & Inhibitors', 'Oct1 Substrates', 'Oct2 Substrates', 'Peripheral Nervous System Agents', 'Protease Inhibitors', 'Sensory System Agents', 'Serine Protease Inhibitors', 'Trypsin Inhibitors']"
1111;"['Amino Acids, Peptides, And Proteins', 'Diagnostic Agents', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Hypothalamic Hormones', 'Nerve Tissue Proteins', 'Neuropeptides', 'Oligopeptides', 'Peptide Hormones', 'Peptides', 'Pituitary Hormone-Releasing Hormones', 'Proteins', 'Tests For Thyreoidea Function', 'Thyroid Products', 'Thyrotropin-Releasing Hormone']"
1112;"['Antidepressive Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp2C19 Inducers', 'Cytochrome P-450 Cyp2C19 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A Inducers (Strong)', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strong)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates (Strength Unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Herbs And Natural Products', 'Hyperglycemia-Associated Agents', 'Nervous System', 'P-Glycoprotein Inducers', 'Psychoanaleptics', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome']"
1113;"['Acids, Carbocyclic', 'Agents Causing Hyperkalemia', 'Agents That Produce Hypertension', 'Amines', 'Aminobenzoates', 'Analgesics', 'Analgesics, Non-Narcotic', 'Aniline Compounds', 'Anti-Inflammatory Agents', 'Anti-Inflammatory Agents, Non-Steroidal', 'Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)', 'Antiinflammatory And Antirheumatic Products', 'Antiinflammatory And Antirheumatic Products, Non-Steroids', 'Antirheumatic Agents', 'Benzene Derivatives', 'Benzoates', 'Central Nervous System Agents', 'Cyclooxygenase Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Weak)', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp2C8 Inhibitors', 'Cytochrome P-450 Cyp2C8 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Weak)', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Drugs Causing Inadvertant Photosensitivity', 'Enzyme Inhibitors', 'Fenamates', 'Musculo-Skeletal System', 'Nephrotoxic Agents', 'Ortho-Aminobenzoates', 'Other Nonsteroidal Anti-Inflammatory Agents', 'Peripheral Nervous System Agents', 'Photosensitizing Agents', 'Sensory System Agents', 'Ugt1A9 Inhibitors', 'Ugt2B7 Inhibitors']"
1114;"['Acids', 'Acids, Noncarboxylic', 'Sulfur Acids', 'Sulfur Compounds']"
1115;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antibodies, Monoclonal, Humanized', 'Blood Proteins', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Noxae', 'Proteins', 'Serum Globulins', 'Toxic Actions']"
1116;"['Antifungal Agents', 'Carbohydrates', 'Cytochrome P-450 Cyp2C8 Inhibitors', 'Cytochrome P-450 Cyp2C8 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Oatp1B3 Inhibitors', 'P-Glycoprotein Substrates', 'Terpenes', 'Triterpenes', 'Triterpenoid Antifungal']"
1117;"['Amides', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Beta-Lactams', 'Cephalosporins', 'Heterocyclic Compounds, Fused-Ring', 'Lactams', 'Nephrotoxic Agents', 'Ophthalmologicals', 'Second-Generation Cephalosporins', 'Sensory Organs', 'Sulfur Compounds', 'Thiazines']"
1118;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Blood Proteins', 'Cancer Immunotherapy', 'Gastrointestinal Agents', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunotherapy', 'Proteins', 'Serum Globulins']"
1211;"['Amines', 'Antiarrhythmic Agents', 'Antiarrhythmics, Class I', 'Antiarrhythmics, Class Ib', 'Benzene Derivatives', 'Cardiac Therapy', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp2B6 Substrates', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp2E1 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Ethers', 'Membrane Transport Modulators', 'Phenols', 'Phenyl Ethers', 'Propylamines', 'Sodium Channel Blockers', 'Voltage-Gated Sodium Channel Blockers']"
1241;"['Amides', 'Antineoplastic Agents', 'Carbonic Anhydrase Inhibitors', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2E1 Inhibitors', 'Cytochrome P-450 Cyp2E1 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Diuretics', 'Enzyme Inhibitors', 'Sulfonamides', 'Sulfones', 'Sulfur Compounds']"
1242;"['Adrenergic Agonists', 'Adrenergic Beta-2 Receptor Agonists', 'Adrenergic Beta-Agonists', 'Agents Producing Tachycardia', 'Agents To Treat Airway Disease', 'Alcohols', 'Amines', 'Amino Alcohols', 'Benzene Derivatives', 'Biogenic Amines', 'Biogenic Monoamines', 'Catecholamines', 'Catechols', 'Dioxoles', 'Epinephrine And Similars', 'Ethanolamines', 'Long-Acting Beta-Adrenoceptor Agonists', 'Phenols']"
1243;"['Alkanes', 'Amines', 'Butanes', 'Hydrocarbons, Acyclic']"
1119;"['Alimentary Tract And Metabolism', 'Antidepressive Agents', 'Antiemetics', 'Antiemetics And Antinauseants', 'Autonomic Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Gastrointestinal Agents', 'Heterocyclic Compounds, Fused-Ring', 'Isoquinolines', 'Neurotransmitter Agents', 'Peripheral Nervous System Agents', 'Quinuclidines', 'Serotonergic Drugs Shown To Increase Risk Of Serotonin Syndrome', 'Serotonin 3 Receptor Antagonists', 'Serotonin 5-Ht3 Receptor Antagonists', 'Serotonin Agents', 'Serotonin Receptor Antagonists']"
1120;"['Agents Causing Muscle Toxicity', 'Antithyroid Agents', 'Hormone Antagonists', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Imidazoles', 'Sulfur-Containing Imidazole Derivatives', 'Systemic Hormonal Preparations, Excl. Sex Hormones And Insulins', 'Thyroid Products']"
1121;"['Heterocyclic Compounds, Fused-Ring', 'Receptors, Nicotinic']"
1122;"['Enzyme Inhibitors', 'Thromboxane-A Synthase, Antagonists & Inhibitors']"
1123;"['Amino Acids, Peptides, And Proteins', 'Antiinfectives For Systemic Use', 'Blood Proteins', 'Endogenous Antigen Neutralization', 'Human Immunoglobulin G', 'Immune Sera And Immunoglobulins', 'Immunoglobulins', 'Passively Acquired Immunity', 'Proteins', 'Serum', 'Serum Globulins', 'Specific Immunoglobulins']"
1124;"['Carbohydrates', 'Sugar Phosphates']"
1125;"['Anti-Allergic Agents', 'Antihistamines For Systemic Use', 'Central Nervous System Depressants', 'Histamine Agents', 'Histamine Antagonists', 'Histamine H1 Antagonists', 'Neurotransmitter Agents', 'Potential Qtc-Prolonging Agents', 'Pyridines', 'Qtc Prolonging Agents']"
1126;"['Acids, Carbocyclic', 'Amides', 'Aminobenzoates', 'Aminohippuric Acids', 'Benzamides And Benzamide Derivatives', 'Benzene Derivatives', 'Benzoates', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Diagnostic Agents', 'Hippurates', 'Indicators And Reagents', 'Keto Acids', 'Laboratory Chemicals', 'Oat1/Slc22A6 Inhibitors', 'Oat1/Slc22A6 Substrates', 'Oat3/Slc22A8 Inhibitors', 'Oat3/Slc22A8 Substrates', 'Oatp1B1/Slco1B1 Inhibitors', 'Oct2 Inhibitors', 'Para-Aminobenzoates', 'Tests For Renal Function And Ureteral Injuries']"
1127;"['Amino Acids, Peptides, And Proteins', 'Oxazines', 'Pancreatic Elastase, Antagonists & Inhibitors', 'Peptides']"
1128;"['Cysteine Endopeptidases', 'Cysteine Proteases', 'Endopeptidases', 'Enzymes', 'Enzymes And Coenzymes', 'Hydrolases', 'Musculo-Skeletal System', 'Peptide Hydrolases']"
1129;"['Agents To Treat Airway Disease', 'Amino Acids, Peptides, And Proteins', 'Anti-Allergic Agents', 'Anti-Asthmatic Agents', 'Anti-Ige', 'Antibodies', 'Antibodies, Monoclonal', 'Antibodies, Monoclonal, Humanized', 'Blood Proteins', 'Decreased Ige Activity', 'Globulins', 'Ige-Directed Antibody Interactions', 'Immunoglobulins', 'Immunoproteins', 'Proteins', 'Respiratory Agents, Miscellaneous', 'Respiratory System Agents', 'Serum Globulins']"
1130;"['Antineoplastic Agents', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Poly(Adp-Ribose) Polymerase Inhibitors']"
1224;"['Anticoagulants', 'Blood And Blood Forming Organs', 'Cardiovascular Agents', 'Endopeptidases', 'Enzymes', 'Enzymes And Coenzymes', 'Fibrin Modulating Agents', 'Fibrinolysin, Antagonists & Inhibitors', 'Fibrinolytic Agents', 'Hematologic Agents', 'Hydrolases', 'Peptide Hydrolases', 'Serine Endopeptidases', 'Serine Proteases']"
1225;"['Alcohols', 'Blood And Blood Forming Organs', 'Blood Substitutes And Perfusion Solutions', 'Buffers', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Drug Delivery Systems', 'Excipients', 'Glycols', 'I.V. Solution Additives', 'I.V. Solutions', 'Laboratory Chemicals', 'Pharmaceutic Aids', 'Pharmaceutical Preparations', 'Pharmaceutical Vehicles', 'Propylene Glycols', 'Solutions Affecting The Electrolyte Balance']"
1226;"['Antigout Preparations', 'Antirheumatic Agents', 'Benzofurans', 'Bsep/Abcb11 Substrates', 'Cytochrome P-450 Cyp2C19 Inhibitors', 'Cytochrome P-450 Cyp2C19 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Musculo-Skeletal System', 'Oatp1B1/Slco1B1 Inhibitors', 'Organic Anion Transporting Polypeptide 2B1 Inhibitors', 'Preparations Increasing Uric Acid Excretion', 'Renal Agents', 'Uricosuric Agents']"
1227;"['Antiinfectives For Systemic Use', 'Antiviral Agents', 'Antivirals For Systemic Use', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp2D6 Substrates', 'Cytochrome P-450 Cyp2E1 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Substrates', 'Direct Acting Antivirals', 'Experimental Unapproved Treatments For Covid-19', 'Heterocyclic Compounds, Fused-Ring', 'Ugt1A9 Inhibitors', 'Ugt1A9 Substrates', 'Ugt2B7 Inhibitors']"
1244;"['Benzene Derivatives', 'Estrogens', 'Estrogens, Non-Steroidal', 'Genito Urinary System And Sex Hormones', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Phenols', 'Sex Hormones And Modulators Of The Genital System', 'Synthetic Estrogens, Plain']"
1131;"['Adrenal Cortex Hormones', 'Anti-Inflammatory Agents', 'Corticosteroid Hormone Receptor Agonists', 'Corticosteroids', 'Corticosteroids, Dermatological Preparations', 'Corticosteroids, Potent (Group Iii)', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Inducers', 'Cytochrome P-450 Cyp3A5 Inducers (Strength Unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Substrates', 'Dermatologicals', 'Fused-Ring Compounds', 'Glucocorticoids', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Hyperglycemia-Associated Agents', 'Immunosuppressive Agents', 'Pregnadienes', 'Pregnanes', 'Steroids', 'Steroids, Fluorinated', 'Thyroxine-Binding Globulin Inhibitors']"
1132;"['Bone Density Conservation Agents', 'Calcitonin Preparations', 'Calcium Homeostasis', 'Systemic Hormonal Preparations, Excl. Sex Hormones And Insulins']"
1133;"['Anti-Epileptic Agent', 'Anticonvulsants', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Enzyme Inducers', 'Decreased Central Nervous System Disorganized Electrical Activity', 'Hydantoins', 'Imidazoles', 'Imidazolidines', 'Membrane Transport Modulators', 'Nervous System', 'Sodium Channel Blockers', 'Thyroxine-Binding Globulin Substrates', 'Voltage-Gated Sodium Channel Blockers']"
1134;"['Alimentary Tract And Metabolism', 'Amino Acids, Peptides, And Proteins', 'Arylsulfatases', 'Carbon-Oxygen Lyases', 'Chondroitinases And Chondroitin Lyases', 'Chondroitinsulfatases', 'Enzymes', 'Enzymes And Coenzymes', 'Esterases', 'Hydrolases', 'Hydrolytic Lysosomal Glycosaminoglycan-Specific Enzyme', 'Lyases', 'Polysaccharide-Lyases', 'Proteins', 'Sulfatases']"
1135;"['Oatp1B1/Slco1B1 Inhibitors', 'Oxazoles']"
1136;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Blood Proteins', 'Cancer Immunotherapy', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunotherapy', 'Narrow Therapeutic Index Drugs', 'Proteins', 'Serum Globulins', 'Vascular Endothelial Growth Factor Receptor 2 Antagonist', 'Vegfr2 Inhibitors']"
1137;"['Acetates', 'Acids, Acyclic', 'Antigout Preparations', 'Antirheumatic Agents', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Weak)', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Substrates', 'Drugs That Are Mainly Renally Excreted', 'Fatty Acids', 'Fatty Acids, Volatile', 'Lipids', 'Musculo-Skeletal System', 'Preparations Increasing Uric Acid Excretion', 'Renal Agents', 'Sulfhydryl Compounds', 'Sulfur Compounds', 'Urate Transporter 1 Inhibitor', 'Urate Transporter 1 Inhibitors', 'Uricosuric Agents']"
1138;"['Amino Acids, Peptides, And Proteins', 'Antigens', 'Antigens, Viral', 'Biological Factors', 'Env Gene Products, Human Immunodeficiency Virus', 'Gene Products, Env', 'Hiv Antigens', 'Human Immunodeficiency Virus Proteins', 'Membrane Fusion Proteins', 'Membrane Proteins', 'Peptides', 'Polyproteins', 'Proteins', 'Retroviridae Proteins', 'Viral Envelope Proteins', 'Viral Fusion Proteins', 'Viral Proteins', 'Viral Structural Proteins']"
1139;"['Amino Acids, Peptides, And Proteins', 'Diagnostic Agents', 'Oligopeptides', 'Peptides', 'Tests For Bile Duct Patency']"
1140;"['Anti-Acne Preparations', 'Anti-Acne Preparations For Systemic Use', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Dermatologicals', 'Naphthacenes', 'P-Glycoprotein Inhibitors', 'Tetracyclines']"
1141;"['Amino Acids, Peptides, And Proteins', 'Oligopeptides', 'Peptides']"
1142;"['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Dioxoles', 'Enzyme Inhibitors', 'Fluoroquinolones', 'Heterocyclic Compounds, Fused-Ring', 'Potential Qtc-Prolonging Agents', 'Qtc Prolonging Agents', 'Quinolines', 'Quinolones', 'Topoisomerase Ii Inhibitors', 'Topoisomerase Inhibitors']"
1143;"['Adenine Nucleotides', 'Carbohydrates', 'Cyclic Amp-Dependent Protein Kinases, Agonists', 'Cyclic Amp-Dependent Protein Kinases, Antagonists & Inhibitors', 'Enzyme Inhibitors', 'Glycosides', 'Heterocyclic Compounds, Fused-Ring', 'Nucleic Acids, Nucleotides, And Nucleosides', 'Nucleotides', 'Nucleotides, Cyclic', 'Protein Kinase Inhibitors', 'Purine Nucleotides', 'Purines', 'Ribonucleotides', 'Stereoisomerism', 'Sulfur Compounds']"
1144;"['Alkylmercury Compounds', 'Organomercury Compounds', 'Organometallic Compounds']"
1145;"['Antihypertensive Agents', 'Autacoids', 'Biological Factors', 'Blood And Blood Forming Organs', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Substrates', 'Eicosanoids', 'Fatty Acids', 'Fatty Acids, Unsaturated', 'Inflammation Mediators', 'Lipids', 'Platelet Aggregation Inhibitors Excl. Heparin', 'Potential Qtc-Prolonging Agents', 'Prostacyclin Analogues', 'Prostacycline Vasodilator', 'Prostaglandins', 'Prostaglandins I', 'Qtc Prolonging Agents', 'Vasodilating Agents', 'Vasodilation']"
1185;"['Alkaloids', 'Alkenes', 'Alkynes', 'Amides', 'Benzene Derivatives', 'Capsaicin And Similar Agents', 'Catechols', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp2C19 Inhibitors', 'Cytochrome P-450 Cyp2C19 Inhibitors (Moderate)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Weak)', 'Cytochrome P-450 Cyp2E1 Inhibitors', 'Cytochrome P-450 Cyp2E1 Inhibitors (Weak)', 'Cytochrome P-450 Enzyme Inhibitors', 'Fatty Acids', 'Fatty Acids, Monounsaturated', 'Fatty Acids, Unsaturated', 'Hydrocarbons, Acyclic', 'Lipids', 'Musculo-Skeletal System', 'Other Nonsteroidal Anti-Inflammatory Agents', 'Phenols', 'Polyunsaturated Alkamides', 'Solanaceous Alkaloids', 'Topical Products For Joint And Muscular Pain']"
1186;"['Amino Acids', 'Amino Acids, Aromatic', 'Amino Acids, Cyclic', 'Amino Acids, Peptides, And Proteins', 'Antineoplastic Agents', 'Enzyme Inhibitors', 'Metalloendopeptidases, Antagonists & Inhibitors', 'Protease Inhibitors', 'Sulfur Compounds']"
1187;"['Carbohydrates', 'Glycosides', 'Oatp1B3 Inhibitors', 'Panax', 'Saponins', 'Terpenes', 'Triterpenes']"
1146;"['Acids, Carbocyclic', 'Agents Causing Hyperkalemia', 'Agents That Produce Hypertension', 'Aminobenzoates', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Anti-Inflammatory Agents, Non-Steroidal', 'Antidepressive Agents', 'Antiinflammatory And Antirheumatic Products', 'Antiinflammatory And Antirheumatic Products, Non-Steroids', 'Antirheumatic Agents', 'Benzene Derivatives', 'Benzoates', 'Bradycardia-Causing Agents', 'Calcium-Regulating Hormones And Agents', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Fenamates', 'Hormone Antagonists', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Membrane Transport Modulators', 'Migraine Disorders, Drug Therapy', 'Musculo-Skeletal System', 'Nephrotoxic Agents', 'Neurotransmitter Agents', 'Non Cox-2 Selective Nsaids', 'Peripheral Nervous System Agents', 'Prostaglandin Antagonists', 'Sensory System Agents', 'Serotonin Agents', 'Serotonin Receptor Antagonists']"
1147;"['Alimentary Tract And Metabolism', 'Blood Glucose Lowering Agents', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Substrates', 'Drugs Used In Diabetes', 'Oral Hypoglycemics', 'Sulfones', 'Sulfonylureas', 'Sulfur Compounds']"
1148;"['Alimentary Tract And Metabolism', 'Amides', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibiotics For Topical Use', 'Antidiarrheals, Intestinal Antiinflammatory/Antiinfective Agents', 'Cytochrome P-450 Cyp2C19 Inducers', 'Cytochrome P-450 Cyp2C19 Inducers (Strong)', 'Cytochrome P-450 Cyp2C8 Inducers', 'Cytochrome P-450 Cyp2C8 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A Inducers (Strong)', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp3A4 Inducers (Strong)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Substrates', 'Dermatologicals', 'Gastrointestinal Agents', 'Heterocyclic Compounds, Fused-Ring', 'Intestinal Antiinfectives', 'Lactams', 'Lactams, Macrocyclic', 'Rifamycin Antibacterial', 'Rifamycins']"
1149;"['Benzene Derivatives', 'Cycloparaffins']"
1150;"['Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Bcrp/Abcg2 Substrates', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Kinase Inhibitor', 'P-Glycoprotein Substrates', 'Protein Kinase Inhibitors', 'Tropomyosin Receptor Kinases Inhibitors', 'Tyrosine Kinase Inhibitors']"
1151;"['Agents Causing Hyperkalemia', 'Antiarrhythmic Agents', 'Antihypertensive Agents', 'Bradycardia-Causing Agents', 'Calcium Channel Blockers', 'Calcium Channel Blockers (Dihydropyridine)', 'Calcium-Regulating Hormones And Agents', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Dihydropyridine Derivatives', 'Dihydropyridines', 'Hypotensive Agents', 'Membrane Transport Modulators', 'Moderate Risk Qtc-Prolonging Agents', 'Nicotinic Acids', 'P-Glycoprotein Inhibitors', 'Pyridines', 'Qtc Prolonging Agents', 'Selective Calcium Channel Blockers With Mainly Vascular Effects', 'Vasodilating Agents']"
1152;"['Alkenes', 'Biological Factors', 'Carotenoids', 'Cyclohexanes', 'Cyclohexenes', 'Cycloparaffins', 'Dietary Supplements', 'Hydrocarbons, Acyclic', 'Pigments, Biological', 'Polyenes', 'Supplements', 'Terpenes', 'Xanthophylls']"
1153;"['Acetates', 'Acids, Acyclic', 'Amines', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Contrast Media', 'Diagnostic Uses Of Chemicals', 'Drugs That Are Mainly Renally Excreted', 'Fatty Acids', 'Fatty Acids, Volatile', 'Lipids', 'Magnetic Resonance Contrast Activity', 'Magnetic Resonance Imaging Contrast Media', 'Miscellaneous Therapeutic Agents', 'Organometallic Compounds', 'Other Diagnostics', 'Paramagnetic Contrast Agent', 'Paramagnetic Contrast Media', 'Polyamines']"
1154;"['Alcohol Dehydrogenase, Antagonists & Inhibitors']"
1155;"['Adrenergic Agents', 'Adrenergic Agonists', 'Adrenergic Alpha-1 Receptor Agonists', 'Adrenergic Alpha-2 Receptor Agonists', 'Adrenergic Alpha-Agonists', 'Adrenergic Beta-1 Receptor Agonists', 'Adrenergic Beta-2 Receptor Agonists', 'Adrenergic Beta-3 Receptor Agonists', 'Adrenergic Beta-Agonists', 'Alcohols', 'Amines', 'Amino Alcohols', 'Antiglaucoma Preparations And Miotics', 'Benzene Derivatives', 'Biogenic Amines', 'Biogenic Monoamines', 'Catecholamines', 'Catechols', 'Cholinesterase Substrates', 'Ethanolamines', 'Mydriatics', 'Neurotransmitter Agents', 'Ophthalmics', 'Ophthalmologicals', 'Phenols', 'Sensory Organs', 'Sympathomimetics In Glaucoma Therapy']"
1156;"['Adrenergic Agents', 'Adrenergic Alpha-Antagonists', 'Adrenergic Antagonists', 'Agents That Produce Hypertension', 'Neurotransmitter Agents']"
1157;"['Antivaricose Therapy', 'Cardiovascular Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Fatty Acids', 'Fatty Acids, Monounsaturated', 'Fatty Acids, Unsaturated', 'Lipids', 'Pharmaceutical Preparations', 'Pharmaceutical Solutions', 'Sclerosing Agents For Local Injection', 'Sclerosing Solutions', 'Solutions', 'Vasoprotectives']"
1158;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antibodies, Monoclonal, Humanized', 'Antigens, Cd11', 'Antineoplastic And Immunomodulating Agents', 'Blood Proteins', 'Cancer Immunotherapy', 'Cd11A-Directed Antibody Interactions', 'Cd11A-Directed Humanized Igg1 Antibody', 'Cell Migration Inhibition', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunosuppressive Agents', 'Immunotherapy', 'Proteins', 'Selective Immunosuppressants', 'Serum Globulins']"
