phenocode;pheno_sex;description;description_more
131080;both_sexes;Date G59 first reported (mononeuropathy in diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 G59. The code corresponds to ""mononeuropathy in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
131082;both_sexes;Date G60 first reported (hereditary and idiopathic neuropathy);"Date of the first occurrence of any code mapped to 3-character ICD10 G60. The code corresponds to ""hereditary and idiopathic neuropathy"". Note that events which were apparently before birth were omitted when constructing this data field."
131084;both_sexes;Date G61 first reported (inflammatory polyneuropathy);"Date of the first occurrence of any code mapped to 3-character ICD10 G61. The code corresponds to ""inflammatory polyneuropathy"". Note that events which were apparently before birth were omitted when constructing this data field."
131086;both_sexes;Date G62 first reported (other polyneuropathies);"Date of the first occurrence of any code mapped to 3-character ICD10 G62. The code corresponds to ""other polyneuropathies"". Note that events which were apparently before birth were omitted when constructing this data field."
131088;both_sexes;Date G63 first reported (polyneuropathy in diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 G63. The code corresponds to ""polyneuropathy in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
131090;both_sexes;Date G64 first reported (other disorders of peripheral nervous system);"Date of the first occurrence of any code mapped to 3-character ICD10 G64. The code corresponds to ""other disorders of peripheral nervous system"". Note that events which were apparently before birth were omitted when constructing this data field."
131092;both_sexes;Date G70 first reported (myasthenia gravis and other myoneural disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 G70. The code corresponds to ""myasthenia gravis and other myoneural disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131094;both_sexes;Date G71 first reported (primary disorders of muscles);"Date of the first occurrence of any code mapped to 3-character ICD10 G71. The code corresponds to ""primary disorders of muscles"". Note that events which were apparently before birth were omitted when constructing this data field."
131096;both_sexes;Date G72 first reported (other myopathies);"Date of the first occurrence of any code mapped to 3-character ICD10 G72. The code corresponds to ""other myopathies"". Note that events which were apparently before birth were omitted when constructing this data field."
131100;both_sexes;Date G80 first reported (infantile cerebral palsy);"Date of the first occurrence of any code mapped to 3-character ICD10 G80. The code corresponds to ""infantile cerebral palsy"". Note that events which were apparently before birth were omitted when constructing this data field."
131102;both_sexes;Date G81 first reported (hemiplegia);"Date of the first occurrence of any code mapped to 3-character ICD10 G81. The code corresponds to ""hemiplegia"". Note that events which were apparently before birth were omitted when constructing this data field."
131104;both_sexes;Date G82 first reported (paraplegia and tetraplegia);"Date of the first occurrence of any code mapped to 3-character ICD10 G82. The code corresponds to ""paraplegia and tetraplegia"". Note that events which were apparently before birth were omitted when constructing this data field."
131106;both_sexes;Date G83 first reported (other paralytic syndromes);"Date of the first occurrence of any code mapped to 3-character ICD10 G83. The code corresponds to ""other paralytic syndromes"". Note that events which were apparently before birth were omitted when constructing this data field."
131108;both_sexes;Date G90 first reported (disorders of autonomic nervous system);"Date of the first occurrence of any code mapped to 3-character ICD10 G90. The code corresponds to ""disorders of autonomic nervous system"". Note that events which were apparently before birth were omitted when constructing this data field."
131110;both_sexes;Date G91 first reported (hydrocephalus);"Date of the first occurrence of any code mapped to 3-character ICD10 G91. The code corresponds to ""hydrocephalus"". Note that events which were apparently before birth were omitted when constructing this data field."
131114;both_sexes;Date G93 first reported (other disorders of brain);"Date of the first occurrence of any code mapped to 3-character ICD10 G93. The code corresponds to ""other disorders of brain"". Note that events which were apparently before birth were omitted when constructing this data field."
131118;both_sexes;Date G95 first reported (other diseases of spinal cord);"Date of the first occurrence of any code mapped to 3-character ICD10 G95. The code corresponds to ""other diseases of spinal cord"". Note that events which were apparently before birth were omitted when constructing this data field."
22676;both_sexes;Minimum carotid IMT (intima-medial thickness) at 210 degrees ;Minimum carotid IMT at 210 degrees (on left side).
22677;both_sexes;Mean carotid IMT (intima-medial thickness) at 210 degrees ;Mean carotid IMT at 210 degrees (on left side).
131120;both_sexes;Date G96 first reported (other disorders of central nervous system);"Date of the first occurrence of any code mapped to 3-character ICD10 G96. The code corresponds to ""other disorders of central nervous system"". Note that events which were apparently before birth were omitted when constructing this data field."
131122;both_sexes;"Date G97 first reported (postprocedural disorders of nervous system, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 G97. The code corresponds to ""postprocedural disorders of nervous system, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
131124;both_sexes;"Date G98 first reported (other disorders of nervous system, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 G98. The code corresponds to ""other disorders of nervous system, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
131126;both_sexes;Date G99 first reported (other disorders of nervous system in diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 G99. The code corresponds to ""other disorders of nervous system in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
131128;both_sexes;Date H00 first reported (hordeolum and chalazion);"Date of the first occurrence of any code mapped to 3-character ICD10 H00. The code corresponds to ""hordeolum and chalazion"". Note that events which were apparently before birth were omitted when constructing this data field."
131130;both_sexes;Date H01 first reported (other inflammation of eyelid);"Date of the first occurrence of any code mapped to 3-character ICD10 H01. The code corresponds to ""other inflammation of eyelid"". Note that events which were apparently before birth were omitted when constructing this data field."
131132;both_sexes;Date H02 first reported (other disorders of eyelid);"Date of the first occurrence of any code mapped to 3-character ICD10 H02. The code corresponds to ""other disorders of eyelid"". Note that events which were apparently before birth were omitted when constructing this data field."
131136;both_sexes;Date H04 first reported (disorders of lachrymal system);"Date of the first occurrence of any code mapped to 3-character ICD10 H04. The code corresponds to ""disorders of lachrymal system"". Note that events which were apparently before birth were omitted when constructing this data field."
131138;both_sexes;Date H05 first reported (disorders of orbit);"Date of the first occurrence of any code mapped to 3-character ICD10 H05. The code corresponds to ""disorders of orbit"". Note that events which were apparently before birth were omitted when constructing this data field."
131142;both_sexes;Date H10 first reported (conjunctivitis);"Date of the first occurrence of any code mapped to 3-character ICD10 H10. The code corresponds to ""conjunctivitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131144;both_sexes;Date H11 first reported (other disorders of conjunctiva);"Date of the first occurrence of any code mapped to 3-character ICD10 H11. The code corresponds to ""other disorders of conjunctiva"". Note that events which were apparently before birth were omitted when constructing this data field."
131148;both_sexes;Date H15 first reported (disorders of sclera);"Date of the first occurrence of any code mapped to 3-character ICD10 H15. The code corresponds to ""disorders of sclera"". Note that events which were apparently before birth were omitted when constructing this data field."
131150;both_sexes;Date H16 first reported (keratitis);"Date of the first occurrence of any code mapped to 3-character ICD10 H16. The code corresponds to ""keratitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131152;both_sexes;Date H17 first reported (corneal scars and opacities);"Date of the first occurrence of any code mapped to 3-character ICD10 H17. The code corresponds to ""corneal scars and opacities"". Note that events which were apparently before birth were omitted when constructing this data field."
131154;both_sexes;Date H18 first reported (other disorders of cornea);"Date of the first occurrence of any code mapped to 3-character ICD10 H18. The code corresponds to ""other disorders of cornea"". Note that events which were apparently before birth were omitted when constructing this data field."
131158;both_sexes;Date H20 first reported (iridocyclitis);"Date of the first occurrence of any code mapped to 3-character ICD10 H20. The code corresponds to ""iridocyclitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131160;both_sexes;Date H21 first reported (other disorders of iris and ciliary body);"Date of the first occurrence of any code mapped to 3-character ICD10 H21. The code corresponds to ""other disorders of iris and ciliary body"". Note that events which were apparently before birth were omitted when constructing this data field."
131164;both_sexes;Date H25 first reported (senile cataract);"Date of the first occurrence of any code mapped to 3-character ICD10 H25. The code corresponds to ""senile cataract"". Note that events which were apparently before birth were omitted when constructing this data field."
131166;both_sexes;Date H26 first reported (other cataract);"Date of the first occurrence of any code mapped to 3-character ICD10 H26. The code corresponds to ""other cataract"". Note that events which were apparently before birth were omitted when constructing this data field."
131168;both_sexes;Date H27 first reported (other disorders of lens);"Date of the first occurrence of any code mapped to 3-character ICD10 H27. The code corresponds to ""other disorders of lens"". Note that events which were apparently before birth were omitted when constructing this data field."
131172;both_sexes;Date H30 first reported (chorioretinal inflammation);"Date of the first occurrence of any code mapped to 3-character ICD10 H30. The code corresponds to ""chorioretinal inflammation"". Note that events which were apparently before birth were omitted when constructing this data field."
131174;both_sexes;Date H31 first reported (other disorders of choroid);"Date of the first occurrence of any code mapped to 3-character ICD10 H31. The code corresponds to ""other disorders of choroid"". Note that events which were apparently before birth were omitted when constructing this data field."
22678;both_sexes;Maximum carotid IMT (intima-medial thickness) at 210 degrees ;Maximum carotid IMT at 210 degrees (on left side).
22679;both_sexes;Minimum carotid IMT (intima-medial thickness) at 240 degrees ;Minimum carotid IMT at 240 degrees (on left side).
C82;both_sexes;C82 Follicular [nodular] non-Hodgkin's lymphoma;truncated: true
131178;both_sexes;Date H33 first reported (retinal detachments and breaks);"Date of the first occurrence of any code mapped to 3-character ICD10 H33. The code corresponds to ""retinal detachments and breaks"". Note that events which were apparently before birth were omitted when constructing this data field."
131180;both_sexes;Date H34 first reported (retinal vascular occlusions);"Date of the first occurrence of any code mapped to 3-character ICD10 H34. The code corresponds to ""retinal vascular occlusions"". Note that events which were apparently before birth were omitted when constructing this data field."
131182;both_sexes;Date H35 first reported (other retinal disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 H35. The code corresponds to ""other retinal disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131184;both_sexes;Date H36 first reported (retinal disorders in diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 H36. The code corresponds to ""retinal disorders in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
131186;both_sexes;Date H40 first reported (glaucoma);"Date of the first occurrence of any code mapped to 3-character ICD10 H40. The code corresponds to ""glaucoma"". Note that events which were apparently before birth were omitted when constructing this data field."
131190;both_sexes;Date H43 first reported (disorders of vitreous body);"Date of the first occurrence of any code mapped to 3-character ICD10 H43. The code corresponds to ""disorders of vitreous body"". Note that events which were apparently before birth were omitted when constructing this data field."
131192;both_sexes;Date H44 first reported (disorders of globe);"Date of the first occurrence of any code mapped to 3-character ICD10 H44. The code corresponds to ""disorders of globe"". Note that events which were apparently before birth were omitted when constructing this data field."
131196;both_sexes;Date H46 first reported (optic neuritis);"Date of the first occurrence of any code mapped to 3-character ICD10 H46. The code corresponds to ""optic neuritis"". Note that events which were apparently before birth were omitted when constructing this data field."
131198;both_sexes;Date H47 first reported (other disorders of optic [2nd] nerve and visual pathways);"Date of the first occurrence of any code mapped to 3-character ICD10 H47. The code corresponds to ""other disorders of optic [2nd] nerve and visual pathways"". Note that events which were apparently before birth were omitted when constructing this data field."
131202;both_sexes;Date H49 first reported (paralytic strabismus);"Date of the first occurrence of any code mapped to 3-character ICD10 H49. The code corresponds to ""paralytic strabismus"". Note that events which were apparently before birth were omitted when constructing this data field."
131204;both_sexes;Date H50 first reported (other strabismus);"Date of the first occurrence of any code mapped to 3-character ICD10 H50. The code corresponds to ""other strabismus"". Note that events which were apparently before birth were omitted when constructing this data field."
131206;both_sexes;Date H51 first reported (other disorders of binocular movement);"Date of the first occurrence of any code mapped to 3-character ICD10 H51. The code corresponds to ""other disorders of binocular movement"". Note that events which were apparently before birth were omitted when constructing this data field."
131208;both_sexes;Date H52 first reported (disorders of refraction and accommodation);"Date of the first occurrence of any code mapped to 3-character ICD10 H52. The code corresponds to ""disorders of refraction and accommodation"". Note that events which were apparently before birth were omitted when constructing this data field."
131210;both_sexes;Date H53 first reported (visual disturbances);"Date of the first occurrence of any code mapped to 3-character ICD10 H53. The code corresponds to ""visual disturbances"". Note that events which were apparently before birth were omitted when constructing this data field."
131212;both_sexes;Date H54 first reported (blindness and low vision);"Date of the first occurrence of any code mapped to 3-character ICD10 H54. The code corresponds to ""blindness and low vision"". Note that events which were apparently before birth were omitted when constructing this data field."
131214;both_sexes;Date H55 first reported (nystagmus and other irregular eye movements);"Date of the first occurrence of any code mapped to 3-character ICD10 H55. The code corresponds to ""nystagmus and other irregular eye movements"". Note that events which were apparently before birth were omitted when constructing this data field."
131216;both_sexes;Date H57 first reported (other disorders of eye and adnexa);"Date of the first occurrence of any code mapped to 3-character ICD10 H57. The code corresponds to ""other disorders of eye and adnexa"". Note that events which were apparently before birth were omitted when constructing this data field."
131220;both_sexes;"Date H59 first reported (postprocedural disorders of eye and adnexa, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 H59. The code corresponds to ""postprocedural disorders of eye and adnexa, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
131222;both_sexes;Date H60 first reported (otitis externa);"Date of the first occurrence of any code mapped to 3-character ICD10 H60. The code corresponds to ""otitis externa"". Note that events which were apparently before birth were omitted when constructing this data field."
131224;both_sexes;Date H61 first reported (other disorders of external ear);"Date of the first occurrence of any code mapped to 3-character ICD10 H61. The code corresponds to ""other disorders of external ear"". Note that events which were apparently before birth were omitted when constructing this data field."
131228;both_sexes;Date H65 first reported (nonsuppurative otitis media);"Date of the first occurrence of any code mapped to 3-character ICD10 H65. The code corresponds to ""nonsuppurative otitis media"". Note that events which were apparently before birth were omitted when constructing this data field."
131230;both_sexes;Date H66 first reported (suppurative and unspecified otitis media);"Date of the first occurrence of any code mapped to 3-character ICD10 H66. The code corresponds to ""suppurative and unspecified otitis media"". Note that events which were apparently before birth were omitted when constructing this data field."
22680;both_sexes;Mean carotid IMT (intima-medial thickness) at 240 degrees ;Mean carotid IMT at 240 degrees (on left side).
22681;both_sexes;Maximum carotid IMT (intima-medial thickness) at 240 degrees ;Maximum carotid IMT at 240 degrees (on left side).
131234;both_sexes;Date H68 first reported (eustachian salpingitis and obstruction);"Date of the first occurrence of any code mapped to 3-character ICD10 H68. The code corresponds to ""eustachian salpingitis and obstruction"". Note that events which were apparently before birth were omitted when constructing this data field."
131236;both_sexes;Date H69 first reported (other disorders of eustachian tube);"Date of the first occurrence of any code mapped to 3-character ICD10 H69. The code corresponds to ""other disorders of eustachian tube"". Note that events which were apparently before birth were omitted when constructing this data field."
131238;both_sexes;Date H70 first reported (mastoiditis and related conditions);"Date of the first occurrence of any code mapped to 3-character ICD10 H70. The code corresponds to ""mastoiditis and related conditions"". Note that events which were apparently before birth were omitted when constructing this data field."
131240;both_sexes;Date H71 first reported (cholesteatoma of middle ear);"Date of the first occurrence of any code mapped to 3-character ICD10 H71. The code corresponds to ""cholesteatoma of middle ear"". Note that events which were apparently before birth were omitted when constructing this data field."
131242;both_sexes;Date H72 first reported (perforation of tympanic membrane);"Date of the first occurrence of any code mapped to 3-character ICD10 H72. The code corresponds to ""perforation of tympanic membrane"". Note that events which were apparently before birth were omitted when constructing this data field."
131244;both_sexes;Date H73 first reported (other disorders of tympanic membrane);"Date of the first occurrence of any code mapped to 3-character ICD10 H73. The code corresponds to ""other disorders of tympanic membrane"". Note that events which were apparently before birth were omitted when constructing this data field."
131246;both_sexes;Date H74 first reported (other disorders of middle ear and mastoid);"Date of the first occurrence of any code mapped to 3-character ICD10 H74. The code corresponds to ""other disorders of middle ear and mastoid"". Note that events which were apparently before birth were omitted when constructing this data field."
131250;both_sexes;Date H80 first reported (otosclerosis);"Date of the first occurrence of any code mapped to 3-character ICD10 H80. The code corresponds to ""otosclerosis"". Note that events which were apparently before birth were omitted when constructing this data field."
131252;both_sexes;Date H81 first reported (disorders of vestibular function);"Date of the first occurrence of any code mapped to 3-character ICD10 H81. The code corresponds to ""disorders of vestibular function"". Note that events which were apparently before birth were omitted when constructing this data field."
131256;both_sexes;Date H83 first reported (other diseases of inner ear);"Date of the first occurrence of any code mapped to 3-character ICD10 H83. The code corresponds to ""other diseases of inner ear"". Note that events which were apparently before birth were omitted when constructing this data field."
131258;both_sexes;Date H90 first reported (conductive and sensorineural hearing loss);"Date of the first occurrence of any code mapped to 3-character ICD10 H90. The code corresponds to ""conductive and sensorineural hearing loss"". Note that events which were apparently before birth were omitted when constructing this data field."
131260;both_sexes;Date H91 first reported (other hearing loss);"Date of the first occurrence of any code mapped to 3-character ICD10 H91. The code corresponds to ""other hearing loss"". Note that events which were apparently before birth were omitted when constructing this data field."
131262;both_sexes;Date H92 first reported (otalgia and effusion of ear);"Date of the first occurrence of any code mapped to 3-character ICD10 H92. The code corresponds to ""otalgia and effusion of ear"". Note that events which were apparently before birth were omitted when constructing this data field."
131264;both_sexes;"Date H93 first reported (other disorders of ear, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 H93. The code corresponds to ""other disorders of ear, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
131270;both_sexes;Date I00 first reported (rheumatic fever without mention of heart involvement);"Date of the first occurrence of any code mapped to 3-character ICD10 I00. The code corresponds to ""rheumatic fever without mention of heart involvement"". Note that events which were apparently before birth were omitted when constructing this data field."
131276;both_sexes;Date I05 first reported (rheumatic mitral valve diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I05. The code corresponds to ""rheumatic mitral valve diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131280;both_sexes;Date I07 first reported (rheumatic tricuspid valve diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I07. The code corresponds to ""rheumatic tricuspid valve diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131282;both_sexes;Date I08 first reported (multiple valve diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I08. The code corresponds to ""multiple valve diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131286;both_sexes;Date I10 first reported (essential (primary) hypertension);"Date of the first occurrence of any code mapped to 3-character ICD10 I10. The code corresponds to ""essential (primary) hypertension"". Note that events which were apparently before birth were omitted when constructing this data field."
131288;both_sexes;Date I11 first reported (hypertensive heart disease);"Date of the first occurrence of any code mapped to 3-character ICD10 I11. The code corresponds to ""hypertensive heart disease"". Note that events which were apparently before birth were omitted when constructing this data field."
131290;both_sexes;Date I12 first reported (hypertensive renal disease);"Date of the first occurrence of any code mapped to 3-character ICD10 I12. The code corresponds to ""hypertensive renal disease"". Note that events which were apparently before birth were omitted when constructing this data field."
131294;both_sexes;Date I15 first reported (secondary hypertension);"Date of the first occurrence of any code mapped to 3-character ICD10 I15. The code corresponds to ""secondary hypertension"". Note that events which were apparently before birth were omitted when constructing this data field."
2296;both_sexes;Falls in the last year;"ACE touchscreen question ""In the last year have you had any falls?"""
23098;both_sexes;Weight;Weight of person taken during impedance measurement. 0.1 increments. Range 0 - 200Kg.
131296;both_sexes;Date I20 first reported (angina pectoris);"Date of the first occurrence of any code mapped to 3-character ICD10 I20. The code corresponds to ""angina pectoris"". Note that events which were apparently before birth were omitted when constructing this data field."
131298;both_sexes;Date I21 first reported (acute myocardial infarction);"Date of the first occurrence of any code mapped to 3-character ICD10 I21. The code corresponds to ""acute myocardial infarction"". Note that events which were apparently before birth were omitted when constructing this data field."
131300;both_sexes;Date I22 first reported (subsequent myocardial infarction);"Date of the first occurrence of any code mapped to 3-character ICD10 I22. The code corresponds to ""subsequent myocardial infarction"". Note that events which were apparently before birth were omitted when constructing this data field."
131304;both_sexes;Date I24 first reported (other acute ischaemic heart diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I24. The code corresponds to ""other acute ischaemic heart diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131306;both_sexes;Date I25 first reported (chronic ischaemic heart disease);"Date of the first occurrence of any code mapped to 3-character ICD10 I25. The code corresponds to ""chronic ischaemic heart disease"". Note that events which were apparently before birth were omitted when constructing this data field."
131308;both_sexes;Date I26 first reported (pulmonary embolism);"Date of the first occurrence of any code mapped to 3-character ICD10 I26. The code corresponds to ""pulmonary embolism"". Note that events which were apparently before birth were omitted when constructing this data field."
131310;both_sexes;Date I27 first reported (other pulmonary heart diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I27. The code corresponds to ""other pulmonary heart diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131314;both_sexes;Date I30 first reported (acute pericarditis);"Date of the first occurrence of any code mapped to 3-character ICD10 I30. The code corresponds to ""acute pericarditis"". Note that events which were apparently before birth were omitted when constructing this data field."
131316;both_sexes;Date I31 first reported (other diseases of pericardium);"Date of the first occurrence of any code mapped to 3-character ICD10 I31. The code corresponds to ""other diseases of pericardium"". Note that events which were apparently before birth were omitted when constructing this data field."
131320;both_sexes;Date I33 first reported (acute and subacute endocarditis);"Date of the first occurrence of any code mapped to 3-character ICD10 I33. The code corresponds to ""acute and subacute endocarditis"". Note that events which were apparently before birth were omitted when constructing this data field."
131322;both_sexes;Date I34 first reported (nonrheumatic mitral valve disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 I34. The code corresponds to ""nonrheumatic mitral valve disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131324;both_sexes;Date I35 first reported (nonrheumatic aortic valve disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 I35. The code corresponds to ""nonrheumatic aortic valve disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131326;both_sexes;Date I36 first reported (nonrheumatic tricuspid valve disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 I36. The code corresponds to ""nonrheumatic tricuspid valve disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131328;both_sexes;Date I37 first reported (pulmonary valve disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 I37. The code corresponds to ""pulmonary valve disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131330;both_sexes;"Date I38 first reported (endocarditis, valve unspecified)";"Date of the first occurrence of any code mapped to 3-character ICD10 I38. The code corresponds to ""endocarditis, valve unspecified"". Note that events which were apparently before birth were omitted when constructing this data field."
131338;both_sexes;Date I42 first reported (cardiomyopathy);"Date of the first occurrence of any code mapped to 3-character ICD10 I42. The code corresponds to ""cardiomyopathy"". Note that events which were apparently before birth were omitted when constructing this data field."
131342;both_sexes;Date I44 first reported (atrioventricular and left bundle-branch block);"Date of the first occurrence of any code mapped to 3-character ICD10 I44. The code corresponds to ""atrioventricular and left bundle-branch block"". Note that events which were apparently before birth were omitted when constructing this data field."
131344;both_sexes;Date I45 first reported (other conduction disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 I45. The code corresponds to ""other conduction disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
131346;both_sexes;Date I46 first reported (cardiac arrest);"Date of the first occurrence of any code mapped to 3-character ICD10 I46. The code corresponds to ""cardiac arrest"". Note that events which were apparently before birth were omitted when constructing this data field."
131348;both_sexes;Date I47 first reported (paroxysmal tachycardia);"Date of the first occurrence of any code mapped to 3-character ICD10 I47. The code corresponds to ""paroxysmal tachycardia"". Note that events which were apparently before birth were omitted when constructing this data field."
131350;both_sexes;Date I48 first reported (atrial fibrillation and flutter);"Date of the first occurrence of any code mapped to 3-character ICD10 I48. The code corresponds to ""atrial fibrillation and flutter"". Note that events which were apparently before birth were omitted when constructing this data field."
131352;both_sexes;Date I49 first reported (other cardiac arrhythmias);"Date of the first occurrence of any code mapped to 3-character ICD10 I49. The code corresponds to ""other cardiac arrhythmias"". Note that events which were apparently before birth were omitted when constructing this data field."
131354;both_sexes;Date I50 first reported (heart failure);"Date of the first occurrence of any code mapped to 3-character ICD10 I50. The code corresponds to ""heart failure"". Note that events which were apparently before birth were omitted when constructing this data field."
131356;both_sexes;Date I51 first reported (complications and ill-defined descriptions of heart disease);"Date of the first occurrence of any code mapped to 3-character ICD10 I51. The code corresponds to ""complications and ill-defined descriptions of heart disease"". Note that events which were apparently before birth were omitted when constructing this data field."
131360;both_sexes;Date I60 first reported (subarachnoid haemorrhage);"Date of the first occurrence of any code mapped to 3-character ICD10 I60. The code corresponds to ""subarachnoid haemorrhage"". Note that events which were apparently before birth were omitted when constructing this data field."
131362;both_sexes;Date I61 first reported (intracerebral haemorrhage);"Date of the first occurrence of any code mapped to 3-character ICD10 I61. The code corresponds to ""intracerebral haemorrhage"". Note that events which were apparently before birth were omitted when constructing this data field."
131364;both_sexes;Date I62 first reported (other nontraumatic intracranial haemorrhage);"Date of the first occurrence of any code mapped to 3-character ICD10 I62. The code corresponds to ""other nontraumatic intracranial haemorrhage"". Note that events which were apparently before birth were omitted when constructing this data field."
131366;both_sexes;Date I63 first reported (cerebral infarction);"Date of the first occurrence of any code mapped to 3-character ICD10 I63. The code corresponds to ""cerebral infarction"". Note that events which were apparently before birth were omitted when constructing this data field."
131368;both_sexes;"Date I64 first reported (stroke, not specified as haemorrhage or infarction)";"Date of the first occurrence of any code mapped to 3-character ICD10 I64. The code corresponds to ""stroke, not specified as haemorrhage or infarction"". Note that events which were apparently before birth were omitted when constructing this data field."
131370;both_sexes;"Date I65 first reported (occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction)";"Date of the first occurrence of any code mapped to 3-character ICD10 I65. The code corresponds to ""occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"". Note that events which were apparently before birth were omitted when constructing this data field."
131374;both_sexes;Date I67 first reported (other cerebrovascular diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I67. The code corresponds to ""other cerebrovascular diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131378;both_sexes;Date I69 first reported (sequelae of cerebrovascular disease);"Date of the first occurrence of any code mapped to 3-character ICD10 I69. The code corresponds to ""sequelae of cerebrovascular disease"". Note that events which were apparently before birth were omitted when constructing this data field."
131380;both_sexes;Date I70 first reported (atherosclerosis);"Date of the first occurrence of any code mapped to 3-character ICD10 I70. The code corresponds to ""atherosclerosis"". Note that events which were apparently before birth were omitted when constructing this data field."
131382;both_sexes;Date I71 first reported (aortic aneurysm and dissection);"Date of the first occurrence of any code mapped to 3-character ICD10 I71. The code corresponds to ""aortic aneurysm and dissection"". Note that events which were apparently before birth were omitted when constructing this data field."
131384;both_sexes;Date I72 first reported (other aneurysm);"Date of the first occurrence of any code mapped to 3-character ICD10 I72. The code corresponds to ""other aneurysm"". Note that events which were apparently before birth were omitted when constructing this data field."
131386;both_sexes;Date I73 first reported (other peripheral vascular diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 I73. The code corresponds to ""other peripheral vascular diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
131388;both_sexes;Date I74 first reported (arterial embolism and thrombosis);"Date of the first occurrence of any code mapped to 3-character ICD10 I74. The code corresponds to ""arterial embolism and thrombosis"". Note that events which were apparently before birth were omitted when constructing this data field."
131390;both_sexes;Date I77 first reported (other disorders of arteries and arterioles);"Date of the first occurrence of any code mapped to 3-character ICD10 I77. The code corresponds to ""other disorders of arteries and arterioles"". Note that events which were apparently before birth were omitted when constructing this data field."
131392;both_sexes;Date I78 first reported (diseases of capillaries);"Date of the first occurrence of any code mapped to 3-character ICD10 I78. The code corresponds to ""diseases of capillaries"". Note that events which were apparently before birth were omitted when constructing this data field."
131396;both_sexes;Date I80 first reported (phlebitis and thrombophlebitis);"Date of the first occurrence of any code mapped to 3-character ICD10 I80. The code corresponds to ""phlebitis and thrombophlebitis"". Note that events which were apparently before birth were omitted when constructing this data field."
131398;both_sexes;Date I81 first reported (portal vein thrombosis);"Date of the first occurrence of any code mapped to 3-character ICD10 I81. The code corresponds to ""portal vein thrombosis"". Note that events which were apparently before birth were omitted when constructing this data field."
131400;both_sexes;Date I82 first reported (other venous embolism and thrombosis);"Date of the first occurrence of any code mapped to 3-character ICD10 I82. The code corresponds to ""other venous embolism and thrombosis"". Note that events which were apparently before birth were omitted when constructing this data field."
131402;both_sexes;Date I83 first reported (varicose veins of lower extremities);"Date of the first occurrence of any code mapped to 3-character ICD10 I83. The code corresponds to ""varicose veins of lower extremities"". Note that events which were apparently before birth were omitted when constructing this data field."
131404;both_sexes;Date I84 first reported (haemorrhoids);"Date of the first occurrence of any code mapped to 3-character ICD10 I84. The code corresponds to ""haemorrhoids"". Note that events which were apparently before birth were omitted when constructing this data field."
