model;drug_bankID;uniprot_ID;atc_codes;pubmed_ids;interaction_type;known_action;actions;ChEMBL
drug.Drug_Protein;DB00193;P11229;['N02AJ13', 'N02AJ14', 'N02AX02'];11561087|31004280;target;unknown;antagonist;CHEMBL1237044
drug.Drug_Protein;DB00193;P25103;['N02AJ13', 'N02AJ14', 'N02AX02'];31004280;target;no;inhibitor;CHEMBL1237044
drug.Drug_Protein;DB00193;Q99250;['N02AJ13', 'N02AJ14', 'N02AX02'];16949748|31004280;target;yes;inhibitor;CHEMBL1237044
drug.Drug_Protein;DB00193;Q8NER1;['N02AJ13', 'N02AJ14', 'N02AX02'];18499628|31004280;target;no;agonist;CHEMBL1237044
drug.Drug_Protein;DB00193;P30542;['N02AJ13', 'N02AJ14', 'N02AX02'];23872384|31004280|33932698;target;yes;agonist;CHEMBL1237044
drug.Drug_Protein;DB00193;P10635;['N02AJ13', 'N02AJ14', 'N02AX02'];15509185;enzyme;unknown;substrate;CHEMBL1237044
drug.Drug_Protein;DB00193;P08684;['N02AJ13', 'N02AJ14', 'N02AX02'];11454734|15509185;enzyme;unknown;substrate;CHEMBL1237044
drug.Drug_Protein;DB00193;P20813;['N02AJ13', 'N02AJ14', 'N02AX02'];11454734|15509185;enzyme;unknown;substrate;CHEMBL1237044
drug.Drug_Protein;DB00193;P22309;['N02AJ13', 'N02AJ14', 'N02AX02'];15304429;enzyme;no;substrate;CHEMBL1237044
drug.Drug_Protein;DB00194;P00813;['J05AB03', 'S01AD06'];6980706|2538128|3339608;enzyme;unknown;substrate;CHEMBL1090
drug.Drug_Protein;DB00195;P08588;['S01ED02', 'C07AB05', 'S01ED52'];12181453|17513029|2077180|2891463|11752352;target;yes;antagonist;CHEMBL423
drug.Drug_Protein;DB00195;P07550;['S01ED02', 'C07AB05', 'S01ED52'];10080340;target;unknown;antagonist;CHEMBL423
drug.Drug_Protein;DB00195;P05177;['S01ED02', 'C07AB05', 'S01ED52'];;enzyme;unknown;substrate;CHEMBL423
drug.Drug_Protein;DB00195;P10635;['S01ED02', 'C07AB05', 'S01ED52'];17635183|25341854;enzyme;unknown;substrate;CHEMBL423
drug.Drug_Protein;DB00196;P08684;['J01RA07', 'J02AC01', 'D01AC15'];16141567|8801056|15969931;enzyme;unknown;inhibitor;CHEMBL106
drug.Drug_Protein;DB00196;P11712;['J01RA07', 'J02AC01', 'D01AC15'];16141567|8801056|10952477|11475469|10709776;enzyme;unknown;inhibitor;CHEMBL106
drug.Drug_Protein;DB00196;P33261;['J01RA07', 'J02AC01', 'D01AC15'];16141567|10709776;enzyme;unknown;inhibitor;CHEMBL106
drug.Drug_Protein;DB00196;P20815;['J01RA07', 'J02AC01', 'D01AC15'];25429674;enzyme;unknown;inhibitor;CHEMBL106
drug.Drug_Protein;DB00196;P08183;['J01RA07', 'J02AC01', 'D01AC15'];28355970;transporter;unknown;inhibitor;CHEMBL106
drug.Drug_Protein;DB00197;P37231;['A10BG01'];10076568|10097144|10200320|10214942|10222233|11752352|12475986;target;yes;agonist;CHEMBL408
drug.Drug_Protein;DB00197;O60488;['A10BG01'];11319222|12147264|11319232;target;no;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P05121;['A10BG01'];10418858|10768100|10770198|10831180|10871202;target;unknown;antagonist;CHEMBL408
drug.Drug_Protein;DB00197;Q99808;['A10BG01'];15963471;target;no;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P62508;['A10BG01'];20298676;target;no;inverse agonist;CHEMBL408
drug.Drug_Protein;DB00197;P11474;['A10BG01'];20298676;target;no;inverse agonist;CHEMBL408
drug.Drug_Protein;DB00197;Q03181;['A10BG01'];11779144;target;unknown;;CHEMBL408
drug.Drug_Protein;DB00197;Q07869;['A10BG01'];11779144;target;unknown;;CHEMBL408
drug.Drug_Protein;DB00197;P09211;['A10BG01'];21639118;target;unknown;;CHEMBL408
drug.Drug_Protein;DB00197;P08684;['A10BG01'];11361054|12843151|10752642;enzyme;unknown;inducer;CHEMBL408
drug.Drug_Protein;DB00197;P10632;['A10BG01'];18413310|26721703|10659951|12642470;enzyme;unknown;substrate|inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P22309;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;P33261;['A10BG01'];10659951;enzyme;unknown;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P11511;['A10BG01'];28293075;enzyme;unknown;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P04798;['A10BG01'];18308446;enzyme;unknown;inducer;CHEMBL408
drug.Drug_Protein;DB00197;P20813;['A10BG01'];11996015|10752642;enzyme;unknown;inducer;CHEMBL408
drug.Drug_Protein;DB00197;P11712;['A10BG01'];11996015|10659951|10534310|12642470;enzyme;unknown;substrate|inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P20815;['A10BG01'];15618651;enzyme;unknown;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P24462;['A10BG01'];15618651;enzyme;unknown;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;P35503;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;P22310;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;P19224;['A10BG01'];12433820|11317477;enzyme;unknown;substrate|inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;Q9HAW7;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;Q9HAW9;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;O60656;['A10BG01'];12433820|12582161;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;Q9HAW8;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;P16662;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;P54855;['A10BG01'];12433820;enzyme;unknown;substrate;CHEMBL408
drug.Drug_Protein;DB00197;O95342;['A10BG01'];12739759|11557132|19688600;transporter;unknown;inhibitor;CHEMBL408
drug.Drug_Protein;DB00197;Q9Y6L6;['A10BG01'];14977862;transporter;unknown;inhibitor;CHEMBL408
drug.Drug_Protein;DB00198;Q99519;['J05AH02'];20222714;target;unknown;inhibitor;CHEMBL1229
drug.Drug_Protein;DB00198;Q9Y3R4;['J05AH02'];20222714;target;unknown;inhibitor;CHEMBL1229
drug.Drug_Protein;DB00198;P23141;['J05AH02'];19022936|16966469|19104028;enzyme;yes;substrate;CHEMBL1229
drug.Drug_Protein;DB00198;O15439;['J05AH02'];19029202;transporter;unknown;substrate;CHEMBL1229
drug.Drug_Protein;DB00198;P46059;['J05AH02'];19439487;transporter;unknown;substrate;CHEMBL1229
drug.Drug_Protein;DB00198;Q8TCC7;['J05AH02'];19029202;transporter;unknown;substrate;CHEMBL1229
drug.Drug_Protein;DB00199;O43193;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];2782416|26817505;target;no;agonist;CHEMBL532
drug.Drug_Protein;DB00199;Q12809;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];15324906|14674677|24417241;target;no;inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;P08684;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];12534644|10594474;enzyme;no;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;P24462;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];17178770;enzyme;no;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;P20815;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];15377640|28558634;enzyme;unknown;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;Q9NPD5;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];19785645|21103967|18509328;transporter;unknown;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;O95342;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];24014644|24154606|21480339;transporter;no;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;P08183;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];9822896|10783825|10817732|21864659;transporter;no;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;Q9Y6L6;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];15286055|19785645|21103967|18509328|22990751;transporter;no;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00199;Q92887;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];21451505|23633119|21864659;transporter;unknown;substrate;CHEMBL532
drug.Drug_Protein;DB00199;P46721;['J01FA01', 'D10AF02', 'S01AA17', 'D10AF52'];18509328|19741038;transporter;unknown;substrate|inhibitor;CHEMBL532
drug.Drug_Protein;DB00200;Q99707;['B03BA53', 'V03AB33', 'B03BA03'];1744096|9587031|18565|7599160|3812589;target;yes;cofactor;CHEMBL2103737
drug.Drug_Protein;DB00200;P22033;['B03BA53', 'V03AB33', 'B03BA03'];36882|11955068|8741039|18565|7599160|11752352;target;yes;cofactor;CHEMBL2103737
drug.Drug_Protein;DB00200;Q8IVH4;['B03BA53', 'V03AB33', 'B03BA03'];20301409;target;unknown;other/unknown;CHEMBL2103737
drug.Drug_Protein;DB00200;P20061;['B03BA53', 'V03AB33', 'B03BA03'];844253|6726060;target;unknown;other;CHEMBL2103737
drug.Drug_Protein;DB00200;Q9BXJ7;['B03BA53', 'V03AB33', 'B03BA03'];17139284|17016423|14585166;target;unknown;other;CHEMBL2103737
drug.Drug_Protein;DB00200;O60494;['B03BA53', 'V03AB33', 'B03BA03'];17139284|17016423|14585166;target;unknown;other;CHEMBL2103737
drug.Drug_Protein;DB00200;Q9Y4U1;['B03BA53', 'V03AB33', 'B03BA03'];17139284|17016423|16311595;target;unknown;other/unknown;CHEMBL2103737
drug.Drug_Protein;DB00200;P20062;['B03BA53', 'V03AB33', 'B03BA03'];8415778|5126165|5488577|3338997|8487649|14585166;carrier;unknown;substrate;CHEMBL2103737
drug.Drug_Protein;DB00201;P30542;['R03DA20', 'V04CG30', 'N06BC01'];16702031|17372967|17126319|17162470|17085856;target;yes;antagonist;CHEMBL113
drug.Drug_Protein;DB00201;Q07343;['R03DA20', 'V04CG30', 'N06BC01'];17139284|17016423|17514358;target;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;P29274;['R03DA20', 'V04CG30', 'N06BC01'];17558310|17577101|17616786|11752352;target;yes;antagonist;CHEMBL113
drug.Drug_Protein;DB00201;P21817;['R03DA20', 'V04CG30', 'N06BC01'];17514358;target;unknown;;CHEMBL113
drug.Drug_Protein;DB00201;P78527;['R03DA20', 'V04CG30', 'N06BC01'];12145276;target;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;O00329;['R03DA20', 'V04CG30', 'N06BC01'];12145276;target;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;P42336;['R03DA20', 'V04CG30', 'N06BC01'];12145276;target;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;P42338;['R03DA20', 'V04CG30', 'N06BC01'];12145276;target;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;Q13315;['R03DA20', 'V04CG30', 'N06BC01'];10485486|10531013;target;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;P29275;['R03DA20', 'V04CG30', 'N06BC01'];20164566;target;yes;antagonist;CHEMBL113
drug.Drug_Protein;DB00201;P0DMS8;['R03DA20', 'V04CG30', 'N06BC01'];20164566;target;yes;antagonist;CHEMBL113
drug.Drug_Protein;DB00201;P05177;['R03DA20', 'V04CG30', 'N06BC01'];8846619|19515014|9492382|14616429|1302044;enzyme;unknown;substrate|inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;P08684;['R03DA20', 'V04CG30', 'N06BC01'];17652830;enzyme;unknown;substrate;CHEMBL113
drug.Drug_Protein;DB00201;P05181;['R03DA20', 'V04CG30', 'N06BC01'];17222385|9156694|1302044;enzyme;no;substrate;CHEMBL113
drug.Drug_Protein;DB00201;P10632;['R03DA20', 'V04CG30', 'N06BC01'];22293536|18619574|19211970;enzyme;unknown;substrate;CHEMBL113
drug.Drug_Protein;DB00201;P11712;['R03DA20', 'V04CG30', 'N06BC01'];19515014|23679834|18619574;enzyme;unknown;substrate;CHEMBL113
drug.Drug_Protein;DB00201;P04798;['R03DA20', 'V04CG30', 'N06BC01'];8474022;enzyme;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00201;Q16678;['R03DA20', 'V04CG30', 'N06BC01'];9152602;enzyme;unknown;substrate;CHEMBL113
drug.Drug_Protein;DB00201;P10635;['R03DA20', 'V04CG30', 'N06BC01'];8857078|9617978;enzyme;unknown;substrate;CHEMBL113
drug.Drug_Protein;DB00201;Q9UNQ0;['R03DA20', 'V04CG30', 'N06BC01'];22113078;transporter;unknown;inhibitor;CHEMBL113
drug.Drug_Protein;DB00202;P08172;['M03AB01'];9523819;target;unknown;agonist;CHEMBL703
drug.Drug_Protein;DB00202;P20309;['M03AB01'];9523819;target;unknown;agonist;CHEMBL703
drug.Drug_Protein;DB00202;P06276;['M03AB01'];26398623;enzyme;no;substrate;CHEMBL703
drug.Drug_Protein;DB00203;O76074;['G01AE10', 'G04BE03'];12614192|11752352|12414329|12477710|12554648|16735511|17959709|12567500|17979301;target;yes;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;P18545;['G01AE10', 'G04BE03'];16815627;target;no;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;Q13956;['G01AE10', 'G04BE03'];16815627;target;no;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;P08684;['G01AE10', 'G04BE03'];18308836|19515014|11298070|11996015;enzyme;unknown;substrate;CHEMBL192
drug.Drug_Protein;DB00203;P20815;['G01AE10', 'G04BE03'];18308836;enzyme;unknown;substrate;CHEMBL192
drug.Drug_Protein;DB00203;P24462;['G01AE10', 'G04BE03'];;enzyme;unknown;substrate;CHEMBL192
drug.Drug_Protein;DB00203;P11712;['G01AE10', 'G04BE03'];19515014|11298070;enzyme;unknown;substrate|inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;P33261;['G01AE10', 'G04BE03'];10725306|11298070;enzyme;unknown;substrate|inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;P10635;['G01AE10', 'G04BE03'];19515014|10725306;enzyme;unknown;substrate;CHEMBL192
drug.Drug_Protein;DB00203;P05181;['G01AE10', 'G04BE03'];27800121;enzyme;unknown;substrate|inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;O15439;['G01AE10', 'G04BE03'];12036927|12695538;transporter;unknown;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;O15440;['G01AE10', 'G04BE03'];10893247|12695538;transporter;unknown;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;Q5T3U5;['G01AE10', 'G04BE03'];12527806;transporter;unknown;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;Q9Y6L6;['G01AE10', 'G04BE03'];19785645;transporter;unknown;inhibitor;CHEMBL192
drug.Drug_Protein;DB00203;P08183;['G01AE10', 'G04BE03'];21402712|28769012|23422148|22775210;transporter;unknown;substrate|inhibitor;CHEMBL192
drug.Drug_Protein;DB00204;Q12809;['C01BD04'];10648647|10712445|11166283|11698075|11723241|11752352|9486667|15548764;target;yes;inhibitor;CHEMBL473
drug.Drug_Protein;DB00204;O95069;['C01BD04'];17139284|17016423|17187453;target;yes;inhibitor;CHEMBL473
drug.Drug_Protein;DB00204;Q14500;['C01BD04'];8700146;target;yes;inhibitor;CHEMBL473
drug.Drug_Protein;DB00204;P08684;['C01BD04'];8801060|12688833;enzyme;unknown;substrate;CHEMBL473
drug.Drug_Protein;DB00204;O15244;['C01BD04'];;transporter;no;substrate;CHEMBL473
drug.Drug_Protein;DB00205;P00374;['P01BD01', 'P01BD51', 'P01BF04'];12951104|9380737|9108546|11752352;target;yes;inhibitor;CHEMBL36
drug.Drug_Protein;DB00205;P07686;['P01BD01', 'P01BD51', 'P01BF04'];21265544;target;unknown;;CHEMBL36
drug.Drug_Protein;DB00205;P10632;['P01BD01', 'P01BD51', 'P01BF04'];26721703;enzyme;unknown;inhibitor;CHEMBL36
drug.Drug_Protein;DB00205;Q96FL8;['P01BD01', 'P01BD51', 'P01BF04'];26381793|21544077|27092232;transporter;no;inhibitor;CHEMBL36
drug.Drug_Protein;DB00205;Q86VL8;['P01BD01', 'P01BD51', 'P01BF04'];26381793|21544077|27092232;transporter;no;inhibitor;CHEMBL36
drug.Drug_Protein;DB00206;Q05940;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];17139284|17016423|17559790|8525459|1438304|20176067|11752352;target;yes;inhibitor;CHEMBL772
drug.Drug_Protein;DB00206;P54219;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];21712771;target;unknown;inhibitor;CHEMBL772
drug.Drug_Protein;DB00206;O15392;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];17968851;target;unknown;;CHEMBL772
drug.Drug_Protein;DB00206;P20815;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];8632764;enzyme;unknown;inducer;CHEMBL772
drug.Drug_Protein;DB00206;P08183;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];11297522|8632764|11716514|11961113|12134945|12636153|14985103|12235267|11602674;transporter;unknown;substrate|inhibitor|inducer;CHEMBL772
drug.Drug_Protein;DB00206;O15245;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];7990927|9776363;transporter;unknown;inhibitor;CHEMBL772
drug.Drug_Protein;DB00206;O95342;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];12739759|10617675;transporter;unknown;inhibitor;CHEMBL772
drug.Drug_Protein;DB00206;Q92887;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];12134946;transporter;unknown;inhibitor;CHEMBL772
drug.Drug_Protein;DB00206;O15244;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];9812985;transporter;unknown;substrate;CHEMBL772
drug.Drug_Protein;DB00206;Q9Y6L6;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];22541068;transporter;unknown;inhibitor;CHEMBL772
drug.Drug_Protein;DB00206;O94956;['C02LA51', 'C02AA02', 'C02LA01', 'C02LA71', 'C02AA52'];22541068;transporter;unknown;inhibitor;CHEMBL772
drug.Drug_Protein;DB00207;Q9UM07;['J01RA07', 'S01AA26', 'J01FA10'];17964793;target;unknown;inhibitor;CHEMBL529
drug.Drug_Protein;DB00207;P08684;['J01RA07', 'S01AA26', 'J01FA10'];28146011|18043468;enzyme;unknown;substrate|inhibitor;CHEMBL529
drug.Drug_Protein;DB00207;P08183;['J01RA07', 'S01AA26', 'J01FA10'];11743742|14744620|14982769|26648627;transporter;unknown;substrate|inhibitor;CHEMBL529
drug.Drug_Protein;DB00207;Q92887;['J01RA07', 'S01AA26', 'J01FA10'];14982769|14744620|16377671|28146011;transporter;unknown;substrate|inhibitor;CHEMBL529
drug.Drug_Protein;DB00208;Q9H244;['B01AC05'];11454254|15816504|15955565|17110146|11752352;target;yes;antagonist;CHEMBL833
drug.Drug_Protein;DB00208;P33261;['B01AC05'];19515014|14563790|9390115|10613611|11372587|10233213|21156812;enzyme;unknown;substrate|inhibitor;CHEMBL833
drug.Drug_Protein;DB00208;P10635;['B01AC05'];19515014|10759690|28496987;enzyme;unknown;substrate|inhibitor;CHEMBL833
drug.Drug_Protein;DB00208;P05164;['B01AC05'];19515014;enzyme;unknown;substrate;CHEMBL833
drug.Drug_Protein;DB00208;P11712;['B01AC05'];11372587|9390115|21666702;enzyme;unknown;inhibitor;CHEMBL833
drug.Drug_Protein;DB00208;P10632;['B01AC05'];26721703;enzyme;unknown;inhibitor;CHEMBL833
drug.Drug_Protein;DB00208;P05177;['B01AC05'];14563790|17403206|11996015|10759690;enzyme;unknown;inhibitor;CHEMBL833
drug.Drug_Protein;DB00208;P20813;['B01AC05'];17101742|14563790;enzyme;unknown;inhibitor;CHEMBL833
drug.Drug_Protein;DB00208;P05181;['B01AC05'];10759690;enzyme;unknown;inhibitor;CHEMBL833
drug.Drug_Protein;DB00209;P11229;['A03DA06', 'G04BD09'];15482001;target;unknown;antagonist;CHEMBL1888176
drug.Drug_Protein;DB00209;P20309;['A03DA06', 'G04BD09'];17637888;target;unknown;;CHEMBL1888176
drug.Drug_Protein;DB00209;P10635;['A03DA06', 'G04BD09'];10628907;enzyme;unknown;inhibitor;CHEMBL1888176
drug.Drug_Protein;DB00210;P10826;['D10AD03', 'D10AD53'];9204085|19929446|31273085|10651997;target;yes;agonist;CHEMBL1265
drug.Drug_Protein;DB00210;P13631;['D10AD03', 'D10AD53'];9204085|19929446|31273085|10651997;target;yes;agonist;CHEMBL1265
drug.Drug_Protein;DB00210;P28702;['D10AD03', 'D10AD53'];9204085|19929446|31273085|10651997;target;yes;agonist;CHEMBL1265
drug.Drug_Protein;DB00210;P48443;['D10AD03', 'D10AD53'];9204085|19929446|31273085|10651997;target;yes;agonist;CHEMBL1265
drug.Drug_Protein;DB00210;P19793;['D10AD03', 'D10AD53'];9204085|19929446|31273085|10651997;target;yes;agonist;CHEMBL1265
drug.Drug_Protein;DB00210;P05412;['D10AD03', 'D10AD53'];26947815|15727806;target;yes;antagonist;CHEMBL1265
drug.Drug_Protein;DB00210;O60603;['D10AD03', 'D10AD53'];17518990|26947815;target;yes;antagonist;CHEMBL1265
drug.Drug_Protein;DB00210;P10276;['D10AD03', 'D10AD53'];9204085|19929446|31273085|10651997;target;unknown;;CHEMBL1265
drug.Drug_Protein;DB00210;P17174;['D10AD03', 'D10AD53'];31605927;target;unknown;inhibitor;CHEMBL1265
drug.Drug_Protein;DB00211;P35348;['C01CA17'];12163120|9007522|15163201;target;yes;agonist;CHEMBL1201212
drug.Drug_Protein;DB00211;P35368;['C01CA17'];15163201;target;yes;agonist;CHEMBL1201212
drug.Drug_Protein;DB00211;P25100;['C01CA17'];12238918;target;unknown;agonist;CHEMBL1201212
drug.Drug_Protein;DB00211;P10635;['C01CA17'];16670408;enzyme;unknown;substrate;CHEMBL1201212
drug.Drug_Protein;DB00211;P46059;['C01CA17'];16597710;transporter;unknown;;CHEMBL1201212
drug.Drug_Protein;DB00212;P00797;['C09XA01'];10583449|7769797|7994817|8206619|8319997|11752352;target;yes;inhibitor;CHEMBL31601
drug.Drug_Protein;DB00213;P20648;['A02BD04', 'A02BD11', 'A02BC02'];19938880|12487624|18433349;target;yes;inhibitor;CHEMBL1502
drug.Drug_Protein;DB00213;O94760;['A02BD04', 'A02BD11', 'A02BC02'];23825361|28588208;target;no;inhibitor;CHEMBL1502
drug.Drug_Protein;DB00213;P33261;['A02BD04', 'A02BD11', 'A02BC02'];21795468|9165689|23745048|29620484;enzyme;unknown;substrate|inhibitor;CHEMBL1502
drug.Drug_Protein;DB00213;P08684;['A02BD04', 'A02BD11', 'A02BC02'];9165689;enzyme;unknown;substrate;CHEMBL1502
drug.Drug_Protein;DB00213;P08183;['A02BD04', 'A02BD11', 'A02BC02'];11770010|24550106|18449471|23749551;transporter;unknown;substrate|inhibitor;CHEMBL1502
drug.Drug_Protein;DB00213;Q9UNQ0;['A02BD04', 'A02BD11', 'A02BC02'];15313923|19076159|19541926;transporter;unknown;substrate|inhibitor;CHEMBL1502
drug.Drug_Protein;DB00213;Q8TCC7;['A02BD04', 'A02BD11', 'A02BC02'];19139163|25239859;transporter;unknown;inhibitor;CHEMBL1502
drug.Drug_Protein;DB00214;Q13621;['C03CA04', 'G01AE10'];11752352|17460608|10406837;target;yes;inhibitor;CHEMBL1148
drug.Drug_Protein;DB00214;P55011;['C03CA04', 'G01AE10'];11752352|8732438|1632943;target;yes;inhibitor;CHEMBL1148
drug.Drug_Protein;DB00214;P02768;['C03CA04', 'G01AE10'];9474471;carrier;unknown;substrate;CHEMBL1148
drug.Drug_Protein;DB00214;P10632;['C03CA04', 'G01AE10'];10803683|15304522|11136296;enzyme;unknown;substrate;CHEMBL1148
drug.Drug_Protein;DB00214;P11712;['C03CA04', 'G01AE10'];19515014|10803683;enzyme;unknown;substrate|inhibitor;CHEMBL1148
drug.Drug_Protein;DB00214;Q9Y6L6;['C03CA04', 'G01AE10'];;transporter;no;substrate;CHEMBL1148
drug.Drug_Protein;DB00215;P31645;['N06AB04'];21546862|27049939;target;yes;inhibitor;CHEMBL549
drug.Drug_Protein;DB00215;P35367;['N06AB04'];17916059;target;no;binder;CHEMBL549
drug.Drug_Protein;DB00215;P08684;['N06AB04'];11532381|10774624|19515014|9890159|21546862;enzyme;unknown;substrate|inhibitor;CHEMBL549
drug.Drug_Protein;DB00215;P33261;['N06AB04'];11532381|10774624|19515014|9890159|10494454|10575324;enzyme;unknown;substrate|inhibitor;CHEMBL549
drug.Drug_Protein;DB00215;P10635;['N06AB04'];8968657;enzyme;unknown;substrate|inhibitor;CHEMBL549
drug.Drug_Protein;DB00215;P05177;['N06AB04'];10494454;enzyme;unknown;inhibitor;CHEMBL549
drug.Drug_Protein;DB00215;P08183;['N06AB04'];12649369|18215618|12650738;transporter;unknown;substrate|inhibitor;CHEMBL549
drug.Drug_Protein;DB00216;P28221;['N02CC06'];11752352|10193663|15821444|11513839|12498013|11152011;target;yes;agonist;CHEMBL1510
drug.Drug_Protein;DB00216;P28222;['N02CC06'];10193663|11050304|11069595|11513839|12384251|11752352;target;yes;agonist;CHEMBL1510
drug.Drug_Protein;DB00216;P30939;['N02CC06'];10193663|11834243|15185063;target;yes;agonist;CHEMBL1510
drug.Drug_Protein;DB00216;P08908;['N02CC06'];11513839;target;unknown;agonist;CHEMBL1510
drug.Drug_Protein;DB00216;P08684;['N02CC06'];19515014|12814962;enzyme;unknown;substrate;CHEMBL1510
drug.Drug_Protein;DB00216;P10635;['N02CC06'];12814962|29497279;enzyme;unknown;substrate;CHEMBL1510
drug.Drug_Protein;DB00216;P11712;['N02CC06'];19515014|27582896;enzyme;unknown;substrate;CHEMBL1510
drug.Drug_Protein;DB00216;P33261;['N02CC06'];19515014;enzyme;unknown;substrate;CHEMBL1510
drug.Drug_Protein;DB00216;P11509;['N02CC06'];10611140;enzyme;unknown;inducer;CHEMBL1510
drug.Drug_Protein;DB00216;P23219;['N02CC06'];19515014;enzyme;unknown;substrate;CHEMBL1510
drug.Drug_Protein;DB00216;P08183;['N02CC06'];12814962|11480267;transporter;unknown;substrate;CHEMBL1510
drug.Drug_Protein;DB00217;P48048;['C02CC01'];3167688|2157221;target;yes;inhibitor;CHEMBL1201260
drug.Drug_Protein;DB00218;P11388;['S01AE07', 'J01MA14'];11752352|20596674|20802486;target;unknown;inhibitor;CHEMBL32
drug.Drug_Protein;DB00218;P05177;['S01AE07', 'J01MA14'];19590965;enzyme;no;inhibitor;CHEMBL32
drug.Drug_Protein;DB00219;P11229;['A03AB53', 'A03AB03'];17139284|17016423|3580704|11752352;target;yes;antagonist;CHEMBL1201286
drug.Drug_Protein;DB00220;P02768;['J05AE04'];15814459|16336266;carrier;unknown;;CHEMBL584
drug.Drug_Protein;DB00220;P08684;['J05AE04'];19515014|9660842|11709322|16433896;enzyme;unknown;substrate|inhibitor;CHEMBL584
drug.Drug_Protein;DB00220;P24462;['J05AE04'];16433896;enzyme;unknown;inhibitor;CHEMBL584
drug.Drug_Protein;DB00220;P20815;['J05AE04'];16433896;enzyme;unknown;inhibitor;CHEMBL584
